Brand,Model,RAM,Storage,Url Path
OnePlus,OnePlus 10T 5G,12 GB,256 GB,https://jmd-asp2.jiostore.online/ext/asp/product/oneplus-10t-5g-256-gb-12-gb-ram-jade-green-mobile-phone-l6fbmo
OnePlus,OnePlus 10T 5G,12 GB,256 GB,https://jmd-asp2.jiostore.online/ext/asp/product/oneplus-10t-5g-256-gb-12-gb-ram-moonstone-black-mobile-phone-l6fbmp
OnePlus,OnePlus 10T 5G,16 GB,256 GB,https://jmd-asp2.jiostore.online/ext/asp/product/oneplus-10t-5g-256-gb-16-gb-ram-moonstone-black-mobile-phone-l6fbmo
OnePlus,OnePlus 10 Pro,8 GB,128 GB,https://jmd-asp2.jiostore.online/ext/asp/product/oneplus-10-pro-128-gb-ram-8-gb-ram-emerald-forest-mobile-phone-l1kzu4
OnePlus,OnePlus 10 Pro,8 GB,128 GB,https://jmd-asp2.jiostore.online/ext/asp/product/oneplus-10-pro-128-gb-ram-8-gb-ram-volcanic-black-mobile-phone-l1kzu4
OnePlus,OnePlus 11 5G,8 GB,128 GB,https://jmd-asp2.jiostore.online/ext/asp/product/oneplus-11-5g-128-gb-8-gb-ram-titan-black-mobile-phone-ldsxtg
OnePlus,OnePlus 11 5G,8 GB,128 GB,https://jmd-asp2.jiostore.online/ext/asp/product/oneplus-11-5g-128-gb-8-gb-ram-eternal-green-mobile-phone-ldsxtl
OnePlus,OnePlus 10 Pro,12 GB,256 GB,https://jmd-asp2.jiostore.online/ext/asp/product/oneplus-10-pro-256-gb-12-gb-ram-emerald-forest-mobile-phone-l1kzu6
OnePlus,OnePlus 10 Pro,12 GB,256 GB,https://jmd-asp2.jiostore.online/ext/asp/product/oneplus-10-pro-256-gb-12-gb-ram-volcanic-black-mobile-phone-l1kzu6
OnePlus,OnePlus 11 5G,16 GB,256 GB,https://jmd-asp2.jiostore.online/ext/asp/product/oneplus-11-5g-256-gb-16-gb-ram-titan-black-mobile-phone-ldsxtl
OnePlus,OnePlus 11 5G,16 GB,256 GB,https://jmd-asp2.jiostore.online/ext/asp/product/oneplus-11-5g-256-gb-16-gb-ram-eternal-green-mobile-phone-ldsxu0
TECNO,Techno pop 5 LTE,2 GB,32 GB,https://jmd-asp2.jiostore.online/ext/asp/product/tecno-pop-5-lte-32-gb-ram-2-gb-ram-turquoise-cyan-mobile-phone-l2hqow
TECNO,Techno pop 5 LTE,2 GB,32 GB,https://jmd-asp2.jiostore.online/ext/asp/product/tecno-pop-5-lte-32-gb-ram-2-gb-ram-ice-blue-mobile-phone-l2hqoy
TECNO,Techno pop 5 LTE,2 GB,32 GB,https://jmd-asp2.jiostore.online/ext/asp/product/tecno-pop-5-lte-32-gb-ram-2-gb-ram-deepsea-lustre-mobile-phone-l2hqoy
TECNO,Techno pop 6 Pro,2 GB,32 GB,https://jmd-asp2.jiostore.online/ext/asp/product/tecno-pop-6-pro-32-gb-2-gb-ram-peaceful-blue-mobile-phone-l8ixmb
TECNO,Techno pop 6 Pro,2 GB,32 GB,https://jmd-asp2.jiostore.online/ext/asp/product/tecno-pop-6-pro-32-gb-2-gb-ram-polar-black-mobile-phone-l8ixmb
TECNO,Techno pop 7 Pro,3 GB,64 GB,https://jmd-asp2.jiostore.online/ext/asp/product/tecno-pop-7-pro-64-gb-3-gb-ram-black-mobile-phone-li34ak
TECNO,Techno pop 7 Pro,3 GB,64 GB,https://jmd-asp2.jiostore.online/ext/asp/product/tecno-pop-7-pro-64-gb-3-gb-ram-blue-mobile-phone-lhyhj6
TECNO,Techno Spark 9,4 GB,64 GB,https://jmd-asp2.jiostore.online/ext/asp/product/tecno-spark-9-64gb-4gb-ram-sky-mirror-mobile-phone-l5troh
TECNO,Techno Spark 9,4 GB,64 GB,https://jmd-asp2.jiostore.online/ext/asp/product/tecno-spark-9-64gb-4gb-ram-infinity-black-mobile-phone-l5troh
TECNO,Techno Spark 8,4 GB,64 GB,https://jmd-asp2.jiostore.online/ext/asp/product/tecno-spark-8-64gb-4gb-ram-turquoise-cyan-mobile-phone-l5o00z
TECNO,Techno Spark 8,4 GB,64 GB,https://jmd-asp2.jiostore.online/ext/asp/product/tecno-spark-8-64gb-4gb-ram-atlantic-blue-mobile-phone-l5o00z
